Date,start
20240507,79600
20240503,79000
20240502,77600
20240430,77000
20240429,77400
20240426,77800
20240425,77300
20240424,77500
20240423,76400
20240422,77400
20240419,78300
20240418,78800
20240417,80700
20240416,81200
20240415,82900
20240412,84700
20240411,83200
20240409,84500
20240408,85200
20240405,84500
20240404,85200
20240403,84300
20240402,82900
20240401,83200
20240329,81200
20240328,79400
20240327,79200
20240326,79700
20240325,79600
20240322,79600
20240321,79200
20240320,73700
20240319,72300
20240318,72600
20240315,73400
20240314,74400
20240313,73700
20240312,72600
20240311,72900
20240308,72800
20240307,73100
20240306,73200
20240305,74600
20240304,74300
20240229,72600
20240228,72900
20240227,73100
20240226,72300
20240223,73600
20240222,73800
20240221,73400
20240220,73700
20240219,72800
20240216,73300
20240215,74200
20240214,73700
20240213,74800
20240208,75000
20240207,74600
20240206,74300
20240205,74200
20240202,74000
20240201,73000
20240131,73400
20240130,75000
20240129,73800
20240126,73700
20240125,74200
20240124,75200
20240123,75700
20240122,75900
20240119,73500
20240118,71600
20240117,73100
20240116,73500
20240115,73200
20240112,73000
20240111,72900
20240110,75000
20240109,77400
20240108,77000
20240105,76700
20240104,76100
20240103,78500
20240102,78200
20231228,77700
20231227,76700
20231226,76100
20231222,75800
20231221,74600
20231220,74200
20231219,73000
20231218,73300
20231215,73800
20231214,74100
20231213,73300
20231212,73300
20231211,72800
20231208,72100
20231207,71800
20231206,71800
20231205,72300
20231204,72800
20231201,72400
20231130,72700
20231129,72400
20231128,71400
20231127,71500
20231124,72400
20231123,73000
20231122,72200
20231121,73100
20231120,72100
20231117,72300
20231116,72500
20231115,71600
20231114,71000
20231113,71300
20231110,70000
20231109,69900
20231108,71300
20231107,70600
20231106,69800
20231103,69700
20231102,70000
20231101,67500
20231031,67600
20231030,66800
20231027,67100
20231026,67000
20231025,68800
20231024,68700
20231023,68700
20231020,68900
20231019,69700
20231018,68900
20231017,67700
20231016,67900
20231013,68000
20231012,68600
20231011,68600
20231010,66200
20231006,67100
20231005,67300
20231004,67400
20230927,68600
20230926,70000
20230925,68500
20230922,68300
20230921,69200
20230920,70000
20230919,70400
20230918,71300
20230915,71700
20230914,71200
20230913,71100
20230912,70800
20230911,70400
20230908,70200
20230907,70000
20230906,70700
20230905,70900
20230904,72900
20230901,66800
20230831,67100
20230830,67300
20230829,66900
20230828,66800
20230825,67100
20230824,68300
20230823,66700
20230822,67200
