,date,content
193,2022. 7. 4. 17:06," 대덕대 시각디자인학과 인턴십 *재판매 및 DB 금지 대덕대는 시각디자인과 학생들이 졸업전 한 학기 동안 글로벌 첨단기업에서 인턴십을 경험하면서 1인당 최대 1200만원(월 200만원)의 대전시 지원금을 받는다고 4일 밝혔다. 대학 UX/BX랩실(첨단디자인 연구실)에서 첨단 디자인 교육을 받은 2학년들로 BMW 협력사인 자율주행기업(3secondz)과 AI로봇, 항공사 BX경력의 정부과제 디자인 기업(Zoslee), 미국에 본사를 두고 있는 스마트 바이오기업(Orum Therapeutics) 그리고 스마트향기 기업(Deepscent)에서 인턴십을 경험한다. 최정아 교수가 이끄는 대덕대 UX/BX랩실은 지난해부터 삼성전자, LG전자 등 대기업에서 경험한 차별화 된 최첨단 디자인 교수법을 통해 학생들에게 분야별로 1대1 맞춤 교육을 제공, 큰 효과를 거두고 있다. ◇대덕대 드론항공부사관과 전자공학회 종합학술대회 참가 대덕대 드론항공부사관과 재학생들 *재판매 및 DB 금지 대덕대는 드론항공부사관과가 제주도에서 열린 대한전자공학회 하계종합학술대회에 참가, 유시온씨 학과생 13명이 드론자율비행 기술에 대한 3편의 논문을 발표했다고 4일 밝혔다. 이 학과는 4차산업혁명으로 드론 및 항공산업분야 인력 수요가 증가함에 따라 인공지능(AI)기반 드론자율비행 기술과 이를 정비하는 전문인력양성을 위해 산업체와 ‘드론 맞춤식 교육 사업’을 진행하고 있다. ㈜드론디비젼 등 12개 기업이 사업에 참여하고 있고 이를 통해 공동연구 개발 4건, 학술논문 3편 발표, 드론 자격증 34명 취득 및 드론 개발자 2명 조기 취업 등의 성과를 거뒀다. ☞공감언론 뉴시스 ssyoo@newsis.com Copyright © 뉴시스. 무단전재 및 재배포 금지. "
161,2022. 7. 4. 17:06," 대덕대 시각디자인학과 인턴십 *재판매 및 DB 금지 대덕대는 시각디자인과 학생들이 졸업전 한 학기 동안 글로벌 첨단기업에서 인턴십을 경험하면서 1인당 최대 1200만원(월 200만원)의 대전시 지원금을 받는다고 4일 밝혔다. 대학 UX/BX랩실(첨단디자인 연구실)에서 첨단 디자인 교육을 받은 2학년들로 BMW 협력사인 자율주행기업(3secondz)과 AI로봇, 항공사 BX경력의 정부과제 디자인 기업(Zoslee), 미국에 본사를 두고 있는 스마트 바이오기업(Orum Therapeutics) 그리고 스마트향기 기업(Deepscent)에서 인턴십을 경험한다. 최정아 교수가 이끄는 대덕대 UX/BX랩실은 지난해부터 삼성전자, LG전자 등 대기업에서 경험한 차별화 된 최첨단 디자인 교수법을 통해 학생들에게 분야별로 1대1 맞춤 교육을 제공, 큰 효과를 거두고 있다. ◇대덕대 드론항공부사관과 전자공학회 종합학술대회 참가 대덕대 드론항공부사관과 재학생들 *재판매 및 DB 금지 대덕대는 드론항공부사관과가 제주도에서 열린 대한전자공학회 하계종합학술대회에 참가, 유시온씨 학과생 13명이 드론자율비행 기술에 대한 3편의 논문을 발표했다고 4일 밝혔다. 이 학과는 4차산업혁명으로 드론 및 항공산업분야 인력 수요가 증가함에 따라 인공지능(AI)기반 드론자율비행 기술과 이를 정비하는 전문인력양성을 위해 산업체와 ‘드론 맞춤식 교육 사업’을 진행하고 있다. ㈜드론디비젼 등 12개 기업이 사업에 참여하고 있고 이를 통해 공동연구 개발 4건, 학술논문 3편 발표, 드론 자격증 34명 취득 및 드론 개발자 2명 조기 취업 등의 성과를 거뒀다. ☞공감언론 뉴시스 ssyoo@newsis.com Copyright © 뉴시스. 무단전재 및 재배포 금지. "
212,2022. 7. 4. 17:13," 미국 증시 휴장을 앞두고 관망심리 속에 거래된 월요일장 양 지수가 장중 연저점을 경신하며 거래를 마감했습니다. 여전히 경기침체 우려가 지속되면서 외국인 매도세가 양 시장에서 이어졌고, 거래소 시장에서는 개인이 코스닥 시장에서는 기관이 외국인의 매도세를 부추기면서 월요일장을 문을 닫았습니다. 코스피는 2,300선을 가까스로 지키면서 거래를 마감했습니다. 오늘 코스피는 전 거래일보다 5.08포인트 하락한 2300.34포인트로, 코스닥은 6.75포인트 내린 722.73포인트로 장을 마감했습니다. 투자주체별 매매 동향을 보면 코스피 시장에서는 기관 홀로 6거래일 만에 물량을 담아냈습니다. 시가총액 상위 종목 살펴보면 혼조세로 마감된 가운데 한화에어로스페이스가 중국 락다운에 따른 정밀기계 부진으로 비방산 부문 매출 감소 예상이 전망된다는 증권가 분석에 6% 넘게 하락했고 GS건설이 해외 리스크에 따른 2분기 실적 악화 우려에 4거래일 연속 조정을 이어갔습니다. 또 코스닥 시장에서 헬렉스미스는 유전자 치료제 엔젠시스의 당뇨병성 신경병증에 대한 미국 임상 3상 중간 결과 연기 소식에 5거래일 연속 하락세를 이어갔습니다. 반면 강원랜드는 외국인과 기관 매수에 2거래일 연속 상승세를 이어갔고, 삼성전자와 SK하이닉스는 장 초반 52주 신저가를 경신하기도 했지만 종가로는 상승세를 기록했습니다. 오늘 원-달러 환율은 0.2원 하락한 1297.1원을 기록했습니다. 지금까지 삼성증권이었습니다. MBC 뉴스는 24시간 여러분의 제보를 기다립니다. ▷ 전화 02-784-4000 ▷ 이메일 mbcjebo@mbc.co.kr ▷ 카카오톡 @mbc제보 김민재 기사 원문 - https://imnews.imbc.com/replay/2022/nw1700/article/6384835_35729.html Copyright © MBC&iMBC 무단 전재, 재배포 및 이용(AI학습 포함)금지 "
18,2022. 7. 4. 17:15," 삼성전자가 4일부터 8월 31일까지 전국 70개 삼성 디지털프라자에서 Neo QLED 8K TV를 활용한 디지털 아트 전시회를 개최한다. 국내 미술계와 대체불가토큰(NFT) 아트계 유명 작가들의 작품을 8K 화질로 즐길 수 있다. 작품은 왼쪽 위부터 시계방향으로 이정록 작가의 'Nabi 30', 김근중 작가의 'Natural Being 843', 정영환 작가의 'Just gazing-resting', 요요진 작가의 'Hug our trees'. 삼성전자] Copyright © 매일경제 & mk.co.kr. 무단 전재, 재배포 및 AI학습 이용 금지 "
247,2022. 7. 4. 17:15," 판매 '마의 10%' 넘어 12.6%도시바 제치고 4위로 '껑충'경쟁사 대비 선명한 화질로현지 전문지서 최고로 선정 일본 유력 AV 전문매체 하이비(HiVi)의 어워드에서 최고 제품으로 선정된 LG 올레드 에보. LG전자가 일본 유기발광다이오드(OELD) TV 시장 점유율에서 '마(魔)의 10%'를 깨고 역대 최고치를 기록했다. 일본 가전시장은 '외국산의 무덤'이라고 불릴 만큼 자국산에 대한 소비자 충성도가 높은 곳이다. 특히 일본 TV 시장은 소비자들이 화질에 민감해 세계에서 TV 평균판매단가(ASP)가 가장 높은 것으로도 유명하다. 이런 치열한 시장에서 LG전자가 독자적인 기술력을 바탕으로 경쟁력을 키우고 있는 셈이다. 4일 시장분석업체 옴디아에 따르면 올해 1분기 일본 OLED TV 시장에서 LG전자 점유율은 12.6%를 기록했다. 도시바를 제치고 소니, 파나소닉, 샤프에 이어 4위에 오른 것이다. 특히 1위부터 3위까지 업체가 나란히 점유율이 하락하는 추세여서 LG전자 점유율은 앞으로 더 높아질 가능성이 있다. 일본 전체 TV 시장에서 올해 고가형 제품인 OLED TV가 차지하는 비중은 30.6%로 전망된다. 코로나19 팬데믹 이전인 2018년(14.9%)에 비해 4년 만에 2배로 커지는 셈이다. 일본의 OLED TV 비중은 2019년 처음으로 20%를 넘어선 뒤 연평균 3%포인트씩 오르고 있다. 올해 세계 TV 시장에서 OLED TV가 차지하는 비중이 13.3%인 점을 고려하면 일본에서는 이미 주력 제품군으로 자리잡고 있는 것으로 볼 수 있다. 프리미엄 시장으로 꼽히는 유럽의 OLED 비중이 20.6%, 북미가 17.3%인 점과 비교해도 일본의 OLED TV 점유율은 10%포인트 이상 높은 수준이다. 일본 TV 시장은 그동안 국내 기업에는 뚫기 어려운 '철옹성'으로 여겨졌다. 삼성전자는 1980년 일본법인을 설립한 뒤 뚜렷한 성과를 내지 못하고 적자를 기록하다가 2009년 TV를 포함한 생활가전 사업에서 완전 철수했다. 이렇게 깐깐한 일본 시장에서 LG전자가 성과를 내기 시작한 것은 독자적인 기술력 덕분이다. 실제로 일본 현지 전문가들이 LG전자의 기술력을 추켜세우고 있다. 최근 일본의 유력한 영상·음향 전문지 '하이비(HiVi)'는 '올여름 베스트바이 어워드'의 디스플레이 부문에서 LG 올레드 에보 갤러리 에디션과 LG 올레드 에보를 최고의 OLED TV로 선정했다. 요시다 이오리 하이비 평가위원은 LG 올레드 에보의 '5세대 인공지능 알파9 프로세서'를 두고 ""심장부의 진화가 TV 화질을 어떻게 끌어올리는지를 보여주는 좋은 예""라며 호평했다. 알파9 프로세서는 LG전자가 축적해온 OLED 화질·음질 데이터를 기반으로 만들어낸 전용 프로세서다. LG 올레드 에보가 같은 패널을 적용한 경쟁사 OLED TV에 비해 차별된 화질을 구현하는 데 기여하고 있다. LG전자는 기세를 몰아 하반기 일본 시장을 더욱 공략하기 위해 고가 라인업인 오브제 컬렉션을 현지에 출시했다. 오브제 컬렉션 디자인을 적용한 TV가 일본 시장에 출시되는 것은 이번이 처음이다. 65인치 올레드 에보에 TV 업계 최초로 '아트 오브제 디자인'을 적용했다. 벽걸이, 스탠드 등 기존의 정형화된 TV 설치 방식 틀을 깬 디자인으로 벽에 기대거나 밀착시키는 형태다. 일본 프리미엄 시장에서 LG전자 활약은 코로나19 이후 위축된 글로벌 시장을 극복할 돌파구가 되고 있다. LG전자는 재고가 급증하는 상황 속에서 수익성을 유지하기 위해 고가 제품 라인업을 강화하고 있다. Copyright © 매일경제 & mk.co.kr. 무단 전재, 재배포 및 AI학습 이용 금지 "
233,2022. 7. 4. 17:19," 이원준 하이퍼리즘 공동대표대학교 '대나무숲' 시초 만들어日서 비서로 일하다 4번째 창업몸값 8000억원..삼성도 투자 이원준 하이퍼리즘 공동대표가 4일 사무실에서 가상자산 투자에 대해 설명하고 있다. 김병언 기자 글로벌 암호화폐 시장이 커지면서 관련 기업도 크게 성장하고 있다. 유니콘 기업(기업가치 1조원 이상 비상장사)도 잇따라 나왔다. 국내에서는 암호화폐거래소를 운영하는 두나무와 빗썸이 유니콘 기업 반열에 올랐다. 가상자산업계에서 다음 유니콘으로 거론하는 국내 스타트업 중 하나가 하이퍼리즘이다. 가상자산 운용사인 하이퍼리즘은 최대 8000억원 수준의 기업가치를 인정받은 것으로 알려졌다. 삼성·네이버·카카오가 앞다퉈 투자 이원준 하이퍼리즘 공동대표는 4일 “현재 200여 개의 기업과 기관을 대상으로 1000억원 이상의 암호화폐 투자신탁을 운용하고 있다”고 설명했다. 2018년 일본에서 설립된 하이퍼리즘은 한국에 지사를 두고 있다. 고객사들이 하이퍼리즘을 찾는 것은 투자 전문성 때문이다. 이 대표는 “암호화폐의 안전한 보관, 효율적인 매매 등도 하이퍼리즘의 경쟁력”이라고 설명했다. 현재 운용 자산 규모는 설립 초기인 2018년보다 20배 이상 증가했다. 하이퍼리즘이 운용하는 펀드의 연간 평균 수익률은 20%가 넘는다. 벤처캐피털(VC)업계는 하이퍼리즘의 성장을 일찌감치 알아봤다. 2019년 하이퍼리즘이 설립된 지 2년도 되지 않은 시기에 네이버와 카카오의 투자 전문 계열사인 스프링캠프·카카오인베스트먼트가 하이퍼리즘에 투자했다. 지난해에는 삼성전자의 투자 전문 자회사인 삼성넥스트, GS그룹의 벤처투자사 GS퓨처스, 게임사 위메이드 등도 하이퍼리즘의 주주가 됐다. 올 상반기에는 미국 암호화폐거래소 코인베이스로부터 추가 투자를 받았다. 네 번째 사업 나선 ‘연쇄 창업자’ 이 대표는 1993년생으로 이번이 벌써 네 번째 창업이다. 고등학교 재학 시절 첫 창업을 했다. 대학생 때인 2013년에는 국내 대학가에 퍼진 익명 커뮤니티 ‘대나무숲’의 시초인 ‘서울대 대나무숲’을 만들었다. 대학 졸업 직전인 2016년에는 서울 가게들의 가격 정보를 제공하는 업체인 서울프라이스를 세웠다. 하지만 창업 1년 만에 접었다. 2017년 지인의 소개로 일본 중견기업 소유주의 수행 비서로 취업했다. 이 대표는 “당시 일본에서 받은 월급을 한국으로 보내는 과정에서 일본 은행의 수수료 부담이 너무 커서 대안을 찾다가 암호화폐의 가능성을 느꼈다”고 말했다. 그는 이듬해 모건스탠리 출신인 오상록 공동대표와 서울대 출신 수학·물리·정보 올림피아드 메달리스트 개발자들을 주축으로 하이퍼리즘을 세웠다. 하이퍼리즘은 올해 투자를 확대할 계획이다. 최근 1000억원 규모의 ‘웹3 생태계’ 활성화를 위한 펀드를 조성했다. 웹3는 페이스북처럼 특정 업체가 관리하는 중앙·집중화된 서비스가 아닌 탈중앙화된 분산 서비스를 뜻한다. 블록체인 기술이 가장 효율적으로 쓰일 곳으로 꼽힌다. 하이퍼리즘은 ‘가상자산업계의 골드만삭스’가 되는 것이 목표다. 이 대표는 “손정의 소프트뱅크 회장이 금융과 정보기술(IT)을 아우르는 소프트뱅크를 키워낸 것처럼 우리도 금융과 블록체인 분야에서 승부를 걸어보겠다”고 했다. 김주완 기자 kjwan@hankyung.com ▶ 경제지 네이버 구독 첫 400만, 한국경제 받아보세요▶ 한국경제신문과 WSJ, 모바일한경으로 보세요 Copyright © 한국경제. 무단전재 및 재배포 금지. "
262,2022. 7. 4. 17:20," KB국민은행 제공 코스피지수가 이틀 연속 장중 2300선이 붕괴됐다. 증권가에서는 코스피가 2050선까지 밀릴 수 있다는 전망을 내놓고 있다. 4일 코스피지수는 전 거래일 대비 5.08(0.22%) 하락한 2300.34에 마감했다. 이날 코스피지수는 상승 출발하며 2310선을 상회(2313.55) 했지만 이내 하락하며 2300선이 다시 무너졌다. 한때 2280선까지 떨어지며 장중 연저점 기록을 깼다. 유가증권시장에서 외국인과 개인이 각각 1385억원, 1845억원을 순매도해 지수 하락을 주도했다. 외국인은 5거래일째 매도 우위를 이어갔고, 개인은 5거래일 만에 매도 우위로 전환해 지수 하방 압력을 키웠다. 반면 기관은 홀로 3121억원을 순매수하며 낙폭을 줄여 가까스로 2300선을 지켰다. 증권사에서는 코스피가 2050선까지 밀릴 수 있다는 전망을 내고 있다. 대신증권은 내년 1분기까지 하락 추세가 이어질 것으로 내다봤다. 대신증권 이경민 투자전략팀장은 “코스피는 외국인의 순매도세에 장 중 한 때 2300선을 하회했다”면서 “미국 경기침체 우려가 부각되는 상황에서 상대적으로 수출 의존도가 높은 한국과 대만 증시가 유독 하락세가 뚜렷하게 나타나는 모습”이라고 설명했다. 대신증권이 코스피 하락 추세의 하단으로 제시한 2050선은 12개월 선행 주당순이익(EPS) 232원에 표적 주가수익비율(PER) 8.8배를 곱한 것이다. 이 연구원은 표적 PER에 대해 “장기 추세 하단인 3년 평균의 2표준편자 수준인 8.8배를 크게 하회하지는 않을 전망”이라면서도 “12개월 선행 EPS는 232원으로 현재의 271원 대비 14.5% 낮아질 것”이라고 관측했다. 이러한 전망은 경기 침체 가능성 확대에 따른 기업이익 전망치의 하향 조정에 따른 것이다. 그는 7월 증시에 대해 “미국 연방준비제도(Fed·연준)의 고강도 긴축, 경기침체 우려가 일정 부분 선반영됐고 금리인상 속도와 강도에 대한 부담이 완화되면서 아직은 경기가 양호하다는 안도감 유입 가능성이 있다”며 “7월 소비자불가지수(CPI) 결과를 확인한 전후 물가의 정점 통가 기대감이 유입될지 여부를 체크해야 한다”고 조언했다. 앞서 유진투자증권도 2050~2300대에서 하락을 멈출 수 있다고 예상한 바 있다. 반면 키움증권은 7월 코스피의 예상 밴드로 2250~2550선을 제시하며 수시로 기술적 반등이 나타나며 저점을 높여갈 수 있다는 전망을 내놨다. 한지영 키움증권 연구원은 “증시 급락의 본질은 인플레이션 문제이며, 현재 미 Fed는 인플레이션을 연 2% 범위 내로 되돌리기 주력할 것이라고 천명했다”면서 “긴축으로 인한 고통은 발생하더라도 경제 상황은 양호하기 때문에 침체 우려가 과장됐을 가능성이 있다”고 말했다. 이어 “지난 인플레이션을 잡기 위한 Fed의 긴축 시그널이 금융 시장 및 실물 경제 주체들에게 반영되고 있다는 점에도 주목해볼 필요가 있다”며 “7월은 위험관리에 우선순위를 둬야 하지만, 공격적인 매도를 통한 과도한 현금 보유 전략은 지양할 필요가 있다”고 덧붙였다. 삼성전자와 SK하이닉스는 업황 둔화 우려에 오전 한때 52주 신저가를 경신했으나 이후 강세 전환해 각각 1.60%, 1.83% 올랐다. 삼성바이오로직스(1.28%), 기아(0.64%), 카카오(1.19%) 등도 상승했다. 반면 LG에너지솔루션(-0.14%), 네이버(-0.84%), 현대차(-1.11%), LG화학(-1.77%), 삼성SDI(-1.17%) 등은 약세였다. 한편 코스닥지수는 전장 대비 6.75(0.93%) 내린 722.73에 마감했다. 지수는 전거래일 대비 3.87(0.53%) 오른 733.35에 개장한 후 오후 들어 낙폭을 키웠다. 외국인과 기관이 각각 381억원, 155억원 순매도했으며 개인이 577억원 순매수하며 지수 하락을 막았다. 손희정 기자 sonhj1220@kukinews.com Copyright © 쿠키뉴스. 무단전재 및 재배포 금지. "
48,2022. 7. 4. 17:20," 이재용 삼성전자 부회장이 출장 중이던 지난달 13일 이 부회장의 삼성SDI 헝가리 공장 방문에 대해 삼성전자에 문의한 적이 있다. 외부에서 '이 부회장의 공장 방문이 확실하다'는 이야기를 들은 터다. 공장 방문설은 시기상 의미가 있었다. 지난 5월, 삼성의 '향후 5년간 450조원 투자계획' 발표에서 배터리가 빠지자 업계에선 삼성SDI 소외론이 나왔고 한 외국계 증권사는 삼성SDI 목표가를 반토막냈다. 한마디로 삼성SDI에 관해 좋지 않은 소문들이 돌던 때다. 이 가운데 총수의 현지 공장 방문은 배터리 사업이 그룹 내에서 소외되지 않고 있단 신호를 줄 수 있는 발걸음이었다. 시장 오해를 불식시킬 수 있는 움직임이기도 했다. 삼성전자측은 관련 내용을 줄곧 부인했다. 하지만 닷새 뒤 이 부회장은 헝가리 공장을 방문하는 등 자동차 업계 현황을 두루 살폈다고 직접 전했다. 삼성전자의 확인이 사실과 달랐던 셈이다. 글로벌 완구 기업 '마텔'의 최고경영자 출신인 로버트 에커트는 '신뢰는 기업 평판의 주춧돌'이라고 했다. 주춧돌이 없으면 전체 건물도 있을 수 없다. 신뢰가 사라질 때 기업평판이 무너지는 건 한 순간이다. 삼성은 최근 수년간 신뢰회복 방안에 대해 기업 안팎 전문가들과 치열하게 고민해왔다. 2020년에는 이 부회장이 직접 ""기술과 제품은 일류란 찬사를 듣고 있지만 삼성을 바라보는 시선은 여전히 따갑다""며 고개 숙였다. 지난 수 년간 일본과의 소부장 전쟁, 팬데믹 등 국가 위기 상황을 거쳐오며 삼성이 진정한 국민기업으로 거듭나려는 기여들도 확인할 수 있었다. 아직 끝나지 않은 신뢰회복의 긴 여정에서 삼성전자의 이번 대응은 아쉽다. 외부에 알리지 못할 사연이 있을 수도 있고, 내부 확인 과정에서 실수가 있었을 수도 있다. 그럼에도 그런 선택에 대한 여파와 실수에 대한 점검, 개선 역시 삼성전자의 몫일 수 밖에 없다. 어느 조직보다 신뢰받아야 할 대한민국 대표기업에서 실제와 다른 말을 할 수 있다는 인식이 생기는 건 이찌됐건 바람직하지 않은 일이다. ☞ ""끊으려면 조용히, 착한 척"" 박막례 유튜브 구독취소 '시끌'☞ 여에스더, 또 외모 지적…""환갑 아줌마"" 발언엔 '발끈'☞ 박수홍 사망보험금 '10억'…매달 1천만원씩 부은 친형☞ 이효리 저격한 전여옥 ""재벌 못지 않다…꼭 카페 해야하나""☞ 전다빈 이혼 사유 ""전 남편, 고금리 대출 …내 이름으로 빚 쌓여"" 김성은 기자 gttsw@mt.co.kr Copyright © 머니투데이 & mt.co.kr, 무단 전재 및 재배포 금지 "
12,2022. 7. 4. 17:21," 코스피지수 2300.34로 거래를 마감한 4일 서울 중구 을지로 하나은행 딜링룸 모니터에 코스피와 코스닥, 그리고 환율이 표시돼 있다. 4일 코스피는 전 거래일보다 5.08포인트(0.22%) 떨어진 2300.34에 장을 마감했다. 종가 기준으로 지난 1일(2305.42)에 이어 2거래일째 연저점을 다시 썼지만 2300선은 사수했다. 코스피는 이날 한때 2276.63까지 하락해 장중 연저점도 경신했지만, 마감 전에 낙폭을 일부 회복했다. 이날 코스피에서는 외국인과 개인이 각각 1385억원, 1845억원을 순매도했다. 기관은 3121억원을 순매수했다. 코스닥은 전 거래일보다 6.75포인트(0.93%) 내린 722.73에 마감했다. 코스닥에서는 외국인과 기관이 각각 381억원, 155억원을 순매도했고, 개인은 578억원을 사들였다. 미국의 경기침체 우려가 국내 증시에 하방 압력으로 작용했다. 미국 애틀랜타 연방준비은행의 ‘GDP나우’는 지난 1일 미국의 2분기 GDP(국내총생산) 성장률을 -2.1%로 예측했다. 지난 1분기(-1.6%)에 이어 미국 경제가 두 분기 연속 마이너스 성장을 기록할 것으로 내다본 것이다. 두 분기 연속 마이너스 성장은 통상 경기침체로 간주된다. 코스피 시가총액 상위권에서는 삼성전자(1.60%), SK하이닉스(1.83%), 삼성바이오로직스(1.28%), 삼성전자우(0.97%), 기아(0.64%) 등이 상승마감했다. LG에너지솔루션(-0.14%), NAVER(-0.84%), 현대차(-1.11%), LG화학(-1.77%), 삼성SDI(-1.17%)는 하락 마감했다. 삼성전자 4거래일만에 상승 마감 경향신문 자료사진 / 김창길 기자 경기침체 우려와 반도체업 전망 악화에 하락세를 이어가던 삼성전자가 4거래일 만에 상승 마감했다. 이날 유가증권시장에서 삼성전자는 전 거래일보다 1.60% 오른 5만7100원에 거래를 마쳤다. 삼성전자는 이날 장 초반 5만5700원까지 떨어지며 52주 신저가를 다시 썼지만, 이후 기관 중심의 저가 매수세가 유입되며 지난 6월28일 이후 4거래일 만에 상승 마감했다. 이날 기관은 삼성전자를 1564억원 사들였다. 또 다른 반도체주 SK하이닉스도 전 거래일보다 1.83% 오른 8만9100원에 거래를 마쳤다. 위메이드 신작 실망감에 11%대 급락 이날 코스닥에서 위메이드는전 거래일 대비 11.68% 떨어진 5만2200원에 거래를 마쳤다. 위메이드의 자회사 위메이드맥스의 주가도 14.08% 하락한 1만8300원에 거래를 마쳤다. 지난달 23일 출시된 신작 ‘미르M: 뱅가드 앤 배가본드’에 대한 이용자들의 불만이 주가에 영향을 준 것으로 보인다. 미르M은 이용자들 사이에서 유료 결제를 유도한다는 비판을 받고 있다. Copyright © 경향신문. 무단전재 및 재배포 금지. "
196,2022. 7. 4. 17:21," 스틱, 대성엘텍 11% 디에이치글로벌에 국내 사모펀드(PEF) 운용사 스틱인베스트먼트가 자동차 부품업체 대성엘텍의 보유지분 중 11%를 디에이치글로벌에 매각한다. 4일 투자은행(IB)업계에 따르면 스틱인베스트먼트는 이날 보유지분 30.06% 중 11%를 디에이치글로벌에 매각하는 주식매매계약(SPA)을 체결했다. 디에이치글로벌은 약 300억원 규모 유상증자에 참여, 추가 지분을 확보 할 계획이다. 앞서 스틱인베스트먼트는 2013년 대성엘텍의 유상증자와 전환사채(CB) 발행에 참여, 370억원을 투자했다. 이후 블록딜로 50%가 넘는 지분을 줄여왔다. 대성엘텍은 차량용 오디오, 비디오, 내비게이션을 생산한다. 현대, 기아차, 르노삼성 등이 고객이다. 대성엘텍은 애플로부터 커넥티드 관련해 카 플레이 인증을 획득 한 바 있다. 디에이치글로벌은 광주 소재로, 김치냉장고, 냉동고, 제습기 등 생활가전을 제조한다. 주요 협력사는 삼성전자 등이다. Copyright © 파이낸셜뉴스. 무단전재 및 재배포 금지. "
